season,player_id,player,age,g,gs,mp,per,ts_pct,usg_pct,ws,ws_48,obpm,dbpm,bpm,vorp
2005-06,arenagi01,Gilbert Arenas,24.0,80.0,80.0,3384.0,23.8,0.581,30.5,13.6,0.193,5.4,0.0,5.4,6.3
2005-06,jamesle01,LeBron James,21.0,79.0,79.0,3361.0,28.1,0.568,33.6,16.3,0.232,7.5,1.6,9.1,9.4
2005-06,johnsjo02,Joe Johnson,24.0,82.0,82.0,3340.0,17.9,0.537,24.6,6.0,0.086,3.1,-2.1,1.0,2.5
2005-06,jamisan01,Antawn Jamison,29.0,82.0,80.0,3288.0,17.7,0.518,23.9,8.2,0.119,2.4,-1.2,1.2,2.7
2005-06,bryanko01,Kobe Bryant,27.0,80.0,80.0,3277.0,28.0,0.559,38.7,15.3,0.224,7.4,0.2,7.6,8.0
2005-06,mariosh01,Shawn Marion,27.0,81.0,81.0,3263.0,23.6,0.591,22.3,14.6,0.214,3.5,1.3,4.8,5.6
2005-06,odomla01,Lamar Odom,26.0,80.0,80.0,3221.0,17.0,0.558,18.1,9.2,0.137,2.1,0.6,2.7,3.9
2005-06,davisri01,Ricky Davis,26.0,78.0,78.0,3207.0,15.6,0.521,24.3,5.0,0.075,0.6,-1.0,-0.4,1.3
2005-06,bibbymi01,Mike Bibby,27.0,82.0,82.0,3167.0,17.9,0.554,25.4,8.4,0.127,2.7,-1.2,1.5,2.8
2005-06,petermo01,Morris Peterson,28.0,82.0,77.0,3140.0,15.3,0.561,19.9,5.9,0.09,1.4,-1.0,0.4,1.9
2005-06,gasolpa01,Pau Gasol,25.0,80.0,80.0,3135.0,22.7,0.555,26.4,12.0,0.184,3.9,1.7,5.5,6.0
2005-06,reddmi01,Michael Redd,26.0,80.0,80.0,3130.0,21.2,0.574,28.3,10.8,0.166,4.7,-0.9,3.8,4.6
2005-06,iversal01,Allen Iverson,30.0,72.0,72.0,3103.0,25.9,0.543,35.8,10.6,0.165,5.8,-1.0,4.8,5.3
2005-06,brandel01,Elton Brand,26.0,79.0,79.0,3099.0,26.5,0.58,27.7,14.8,0.229,5.1,1.6,6.7,6.8
2005-06,nowitdi01,Dirk Nowitzki,27.0,81.0,81.0,3089.0,28.1,0.589,30.0,17.7,0.275,7.8,0.4,8.1,7.9
2005-06,iguodan01,Andre Iguodala,22.0,82.0,82.0,3086.0,14.8,0.598,14.7,7.5,0.116,0.2,0.4,0.6,2.0
2005-06,piercpa01,Paul Pierce,28.0,79.0,79.0,3084.0,23.6,0.582,31.2,11.5,0.178,5.0,-0.2,4.8,5.3
2005-06,jefferi01,Richard Jefferson,25.0,78.0,78.0,3059.0,18.9,0.603,22.1,11.7,0.184,2.6,0.5,3.1,3.9
2005-06,allenra02,Ray Allen,30.0,78.0,78.0,3022.0,22.2,0.59,27.4,9.5,0.15,6.4,-2.0,4.4,4.9
2005-06,howardw01,Dwight Howard,20.0,82.0,81.0,3021.0,19.3,0.565,21.3,8.6,0.137,1.1,-0.1,1.0,2.3
2005-06,moblecu01,Cuttino Mobley,30.0,79.0,74.0,2979.0,13.1,0.519,19.8,5.3,0.086,-0.7,0.5,-0.2,1.3
2005-06,kiddja01,Jason Kidd,32.0,80.0,80.0,2975.0,19.2,0.526,19.1,10.1,0.163,2.8,2.6,5.4,5.5
2005-06,bellra01,Raja Bell,29.0,79.0,79.0,2959.0,12.9,0.584,16.4,6.8,0.11,0.2,0.1,0.2,1.6
2005-06,garneke01,Kevin Garnett,29.0,76.0,76.0,2957.0,26.8,0.589,25.5,14.9,0.242,5.6,2.2,7.8,7.4
2005-06,hinriki01,Kirk Hinrich,25.0,81.0,81.0,2955.0,15.5,0.528,21.4,7.6,0.124,1.1,0.6,1.8,2.8
2005-06,okurme01,Mehmet Okur,26.0,82.0,82.0,2945.0,19.0,0.554,23.5,9.3,0.152,2.4,-0.8,1.6,2.7
2005-06,anthoca01,Carmelo Anthony,21.0,80.0,80.0,2941.0,22.0,0.563,32.0,9.4,0.153,3.5,-0.9,2.7,3.5
2005-06,millean02,Andre Miller,29.0,82.0,82.0,2937.0,16.4,0.532,20.0,6.2,0.101,0.6,-0.4,0.2,1.7
2005-06,billuch01,Chauncey Billups,29.0,81.0,81.0,2925.0,23.4,0.602,22.9,15.5,0.254,6.2,0.1,6.2,6.1
2005-06,jamesmi01,Mike James,30.0,79.0,79.0,2925.0,19.8,0.583,25.0,7.6,0.125,4.0,-2.2,1.8,2.9
2005-06,millebr01,Brad Miller,29.0,79.0,79.0,2923.0,17.5,0.576,18.9,9.1,0.15,1.5,1.0,2.5,3.3
2005-06,jacksst02,Stephen Jackson,27.0,81.0,81.0,2910.0,13.6,0.512,24.0,4.4,0.073,-0.6,0.5,-0.1,1.4
2005-06,cartevi01,Vince Carter,29.0,79.0,79.0,2906.0,21.6,0.536,32.3,9.3,0.153,4.5,0.5,5.1,5.2
2005-06,princta01,Tayshaun Prince,25.0,82.0,82.0,2898.0,14.8,0.524,19.6,7.0,0.115,0.5,-0.2,0.3,1.7
2005-06,webbech01,Chris Webber,32.0,75.0,75.0,2893.0,18.4,0.482,27.7,4.4,0.074,0.6,-0.7,-0.1,1.3
2005-06,wadedw01,Dwyane Wade,24.0,75.0,75.0,2892.0,27.6,0.577,32.5,14.4,0.239,5.9,1.8,7.7,7.1
2005-06,wallabe01,Ben Wallace,31.0,82.0,82.0,2890.0,17.5,0.501,11.2,10.1,0.168,0.4,3.1,3.5,4.0
2005-06,richaja01,Jason Richardson,25.0,75.0,75.0,2877.0,19.2,0.538,27.6,7.3,0.122,3.4,-0.3,3.1,3.7
2005-06,lewisra02,Rashard Lewis,26.0,78.0,77.0,2876.0,20.0,0.585,23.1,8.3,0.138,4.2,-1.6,2.7,3.4
2005-06,diawbo01,Boris Diaw,23.0,81.0,70.0,2874.0,17.3,0.564,17.9,8.9,0.149,1.4,1.4,2.8,3.5
2005-06,battish01,Shane Battier,27.0,81.0,81.0,2839.0,14.7,0.574,13.7,9.1,0.153,0.8,1.8,2.6,3.3
2005-06,hamilri01,Richard Hamilton,27.0,80.0,80.0,2825.0,18.2,0.553,27.4,7.6,0.13,1.7,-0.9,0.8,2.0
2005-06,paulch01,Chris Paul,20.0,78.0,78.0,2808.0,22.1,0.546,22.2,10.4,0.178,3.0,2.2,5.2,5.1
