season,big_spender_trades,agg_rate,agg_rate_all,era
2005-06,41,0.122,0.168,2005 CBA
2006-07,14,0.143,0.111,2005 CBA
2007-08,35,0.429,0.289,2005 CBA
2008-09,33,0.121,0.217,2005 CBA
2009-10,27,0.296,0.202,2005 CBA
2010-11,19,0.263,0.219,2005 CBA
2011-12,20,0.2,0.225,2011 CBA
2012-13,33,0.152,0.136,2011 CBA
2013-14,34,0.147,0.248,2011 CBA
2014-15,48,0.458,0.268,2011 CBA
2015-16,17,0.176,0.154,2011 CBA
2016-17,6,0.0,0.165,2011 CBA
2017-18,12,0.167,0.187,2017 CBA
2018-19,18,0.111,0.156,2017 CBA
2019-20,4,0.25,0.303,2017 CBA
2020-21,15,0.267,0.238,2017 CBA
2021-22,31,0.226,0.247,2017 CBA
2022-23,32,0.344,0.222,2017 CBA
2023-24,25,0.28,0.216,2023 CBA (apron)
2024-25,33,0.03,0.2,2023 CBA (apron)
2025-26,29,0.138,0.15,2023 CBA (apron)
