season,player_id,experience,exp_bucket
2005-06,abdursh01,9,7-9 (30% max eligible)
2005-06,ackeral01,0,0-4 (rookie scale / early)
2005-06,allenma01,4,0-4 (rookie scale / early)
2005-06,allenra02,9,7-9 (30% max eligible)
2005-06,allento01,1,0-4 (rookie scale / early)
2005-06,alstora01,6,5-6 (25% max eligible)
2005-06,anderal01,0,0-4 (rookie scale / early)
2005-06,anderch01,4,0-4 (rookie scale / early)
2005-06,anderde01,8,7-9 (30% max eligible)
2005-06,andersh01,9,7-9 (30% max eligible)
2005-06,andrima01,0,0-4 (rookie scale / early)
2005-06,anthoca01,2,0-4 (rookie scale / early)
2005-06,araujra01,1,0-4 (rookie scale / early)
2005-06,arenagi01,4,0-4 (rookie scale / early)
2005-06,arizatr01,1,0-4 (rookie scale / early)
2005-06,armstda01,11,10+ (35% / supermax eligible)
2005-06,arroyca01,4,0-4 (rookie scale / early)
2005-06,artesro01,6,5-6 (25% max eligible)
2005-06,atkinch01,6,5-6 (25% max eligible)
2005-06,augmost01,14,10+ (35% / supermax eligible)
2005-06,bakervi01,12,10+ (35% / supermax eligible)
2005-06,banksma01,2,0-4 (rookie scale / early)
2005-06,barbole01,2,0-4 (rookie scale / early)
2005-06,barnema02,2,0-4 (rookie scale / early)
2005-06,barrean01,1,0-4 (rookie scale / early)
2005-06,barroea01,0,0-4 (rookie scale / early)
2005-06,barrybr01,10,10+ (35% / supermax eligible)
2005-06,barryjo01,13,10+ (35% / supermax eligible)
2005-06,basdeed01,0,0-4 (rookie scale / early)
2005-06,bassbr01,0,0-4 (rookie scale / early)
2005-06,batises01,0,0-4 (rookie scale / early)
2005-06,battish01,4,0-4 (rookie scale / early)
2005-06,battito01,8,7-9 (30% max eligible)
2005-06,baxtelo01,3,0-4 (rookie scale / early)
2005-06,bellch01,1,0-4 (rookie scale / early)
2005-06,bellra01,5,5-6 (25% max eligible)
2005-06,bendejo01,6,5-6 (25% max eligible)
2005-06,bibbymi01,7,7-9 (30% max eligible)
2005-06,biedran01,1,0-4 (rookie scale / early)
2005-06,billuch01,8,7-9 (30% max eligible)
2005-06,blakest01,2,0-4 (rookie scale / early)
2005-06,blatcan01,0,0-4 (rookie scale / early)
2005-06,blounma01,5,5-6 (25% max eligible)
2005-06,boganke01,2,0-4 (rookie scale / early)
2005-06,bogutan01,0,0-4 (rookie scale / early)
2005-06,bonnema01,1,0-4 (rookie scale / early)
2005-06,boothca01,6,5-6 (25% max eligible)
2005-06,boozeca01,3,0-4 (rookie scale / early)
2005-06,boshch01,2,0-4 (rookie scale / early)
2005-06,bowenbr01,9,7-9 (30% max eligible)
2005-06,bowenry01,6,5-6 (25% max eligible)
2005-06,boykiea01,7,7-9 (30% max eligible)
2005-06,bradlmi01,4,0-4 (rookie scale / early)
2005-06,brandel01,6,5-6 (25% max eligible)
2005-06,brezepr01,4,0-4 (rookie scale / early)
2005-06,brownde02,3,0-4 (rookie scale / early)
2005-06,brownkw01,4,0-4 (rookie scale / early)
2005-06,brownpj01,12,10+ (35% / supermax eligible)
2005-06,brunsri01,8,7-9 (30% max eligible)
2005-06,bryanko01,9,7-9 (30% max eligible)
2005-06,buckngr01,6,5-6 (25% max eligible)
2005-06,burkepa01,1,0-4 (rookie scale / early)
