season,era,n_fa_signings,median_day_all,median_day_big,median_day_rest,n_big_contracts,star_move_rate,stars_moved,stars_tracked
2005-06,2005 CBA,101,60.0,49.0,61.0,7,,,
2006-07,2005 CBA,79,32.0,53.0,32.0,2,0.06,3.0,50.0
2007-08,2005 CBA,73,43.0,19.0,43.5,3,0.208,11.0,53.0
2008-09,2005 CBA,84,41.0,8.0,41.0,3,0.082,4.0,49.0
2009-10,2005 CBA,79,63.0,27.0,63.0,3,0.114,5.0,44.0
2010-11,2005 CBA,108,37.5,8.0,39.0,1,0.16,8.0,50.0
2012-13,2011 CBA,156,70.0,14.0,73.0,5,0.222,12.0,54.0
2013-14,2011 CBA,131,21.0,9.0,22.0,5,0.114,5.0,44.0
2014-15,2011 CBA,119,18.0,12.0,20.0,9,0.196,11.0,56.0
2015-16,2011 CBA,167,13.0,8.0,14.0,27,0.082,4.0,49.0
2016-17,2011 CBA,177,12.0,7.0,13.0,27,0.26,13.0,50.0
2017-18,2017 CBA,126,9.5,12.0,9.0,15,0.316,18.0,57.0
2018-19,2017 CBA,168,9.0,8.0,9.0,15,0.228,13.0,57.0
2019-20,2017 CBA,229,10.0,6.5,10.0,20,0.255,14.0,55.0
2021-22,2017 CBA,123,38.0,36.0,38.0,10,0.266,17.0,64.0
2022-23,2017 CBA,103,5.0,7.0,5.0,9,0.19,11.0,58.0
2023-24,2023 CBA (2nd apron),106,5.0,6.0,5.0,9,0.164,10.0,61.0
2024-25,2023 CBA (2nd apron),105,5.0,5.0,5.0,13,0.119,8.0,67.0
2025-26,2023 CBA (2nd apron),92,5.0,9.5,5.0,10,0.137,10.0,73.0
