season,era,date,days_from_open,player_id,pct_of_cap,total_salary,impact_tier,is_big_contract
2005-06,2005 CBA,2005-07-07,6,watsoea01,10.1,5000000.0,3.0,False
2005-06,2005 CBA,2005-08-02,32,daniean01,10.1,5000000.0,2.0,False
2005-06,2005 CBA,2005-08-02,32,hughela01,20.9,10344900.0,2.0,True
2005-06,2005 CBA,2005-08-02,32,jamesje01,10.1,5000000.0,,False
2005-06,2005 CBA,2005-08-02,32,marshdo01,9.7,4799108.0,3.0,False
2005-06,2005 CBA,2005-08-02,32,parkesm01,1.51,745248.0,3.0,False
2005-06,2005 CBA,2005-08-02,32,scalabr01,5.22,2586207.0,1.0,False
2005-06,2005 CBA,2005-08-02,32,swiftst01,10.1,5000000.0,1.0,False
2005-06,2005 CBA,2005-08-02,32,macijar01,5.05,2500000.0,,False
2005-06,2005 CBA,2005-08-02,32,powelka01,,,,False
2005-06,2005 CBA,2005-08-02,32,obertfa01,4.7,2325000.0,,False
2005-06,2005 CBA,2005-08-02,32,poweljo01,0.81,398762.0,,False
2005-06,2005 CBA,2005-08-02,32,pricero01,0.81,398762.0,,False
2005-06,2005 CBA,2005-08-03,33,bellra01,8.59,4250000.0,3.0,False
2005-06,2005 CBA,2005-08-03,33,doolike01,6.26,3100000.0,1.0,False
2005-06,2005 CBA,2005-08-03,33,moblecu01,14.55,7200000.0,2.0,False
2005-06,2005 CBA,2005-08-03,33,caldejo01,4.42,2190000.0,1.0,False
2005-06,2005 CBA,2005-08-04,34,dixonju01,5.05,2500000.0,2.0,False
2005-06,2005 CBA,2005-08-05,35,brunsri01,2.08,1029873.0,,False
2005-06,2005 CBA,2005-08-05,35,stoudda01,7.58,3750000.0,2.0,False
2005-06,2005 CBA,2005-08-05,35,gaide01,0.19,92396.0,,False
2005-06,2005 CBA,2005-08-05,35,marshra01,0.81,398762.0,,False
2005-06,2005 CBA,2005-08-05,35,randosh01,0.81,398762.0,,False
2005-06,2005 CBA,2005-08-08,38,simmobo01,16.16,8000000.0,3.0,True
2005-06,2005 CBA,2005-08-09,39,tskitni01,1.51,745248.0,,False
2005-06,2005 CBA,2005-08-09,39,anderal01,0.81,398762.0,1.0,False
2005-06,2005 CBA,2005-08-09,39,basdeed01,0.81,398762.0,,False
2005-06,2005 CBA,2005-08-09,39,anderal01,0.81,398762.0,1.0,False
2005-06,2005 CBA,2005-08-10,40,sampsja01,1.45,719373.0,,False
2005-06,2005 CBA,2005-08-11,41,mcinnje01,6.87,3400000.0,,False
2005-06,2005 CBA,2005-08-11,41,pachuza01,8.08,4000000.0,1.0,False
2005-06,2005 CBA,2005-08-11,41,jasiksa01,8.08,4000000.0,3.0,False
2005-06,2005 CBA,2005-08-12,42,abdursh01,10.1,5000000.0,3.0,False
2005-06,2005 CBA,2005-08-12,42,huntest01,5.66,2800000.0,1.0,False
2005-06,2005 CBA,2005-08-12,42,fitchge01,0.73,359858.0,,False
2005-06,2005 CBA,2005-08-15,45,walshma01,0.08,38904.0,,False
2005-06,2005 CBA,2005-08-18,48,bellch01,1.3,641748.0,3.0,False
2005-06,2005 CBA,2005-08-18,48,burkepa01,1.52,750000.0,,False
2005-06,2005 CBA,2005-08-18,48,grantbr01,32.34,16006220.0,,True
2005-06,2005 CBA,2005-08-18,48,schenlu01,,,,False
2005-06,2005 CBA,2005-08-18,48,roberan02,0.81,398762.0,,False
2005-06,2005 CBA,2005-08-19,49,chrisdo01,19.75,9775000.0,,True
2005-06,2005 CBA,2005-08-19,49,diopde01,3.74,1850000.0,3.0,False
2005-06,2005 CBA,2005-08-19,49,bynumwi01,,,,False
2005-06,2005 CBA,2005-08-22,52,anderde01,21.74,10763000.0,2.0,True
2005-06,2005 CBA,2005-08-26,56,davisda01,7.07,3500000.0,,False
2005-06,2005 CBA,2005-08-26,56,mckieaa01,17.17,8500000.0,,True
2005-06,2005 CBA,2005-08-26,56,jonesdw02,0.81,398762.0,,False
2005-06,2005 CBA,2005-08-29,59,johnser02,2.3,1138500.0,,False
2005-06,2005 CBA,2005-08-29,59,vanexni01,2.3,1138500.0,2.0,False
2005-06,2005 CBA,2005-08-30,60,edwarjo01,2.02,1000000.0,,False
2005-06,2005 CBA,2005-08-30,60,singlja01,1.26,625000.0,3.0,False
2005-06,2005 CBA,2005-08-31,61,mooremi01,2.06,1020000.0,1.0,False
2005-06,2005 CBA,2005-08-31,61,burleke01,0.81,398762.0,,False
2005-06,2005 CBA,2005-09-01,62,johnsli01,1.45,719373.0,1.0,False
