season,season_end,player_id,player,total_salary,n_teams,teams,salary_cap,pct_of_cap
2005-06,2006,onealsh01,Shaquille O'Neal,20000000.0,1,MIA,49500000,40.4
2005-06,2006,houstal01,Allan Houston,19125000.0,1,NYK,49500000,38.64
2005-06,2006,webbech01,Chris Webber,19125000.0,1,PHI,49500000,38.64
2005-06,2006,finlemi01,Michael Finley,18612500.0,2,DAL/SAS,49500000,37.6
2005-06,2006,garneke01,Kevin Garnett,18000000.0,1,MIN,49500000,36.36
2005-06,2006,iversal01,Allen Iverson,16453125.0,1,PHI,49500000,33.24
2005-06,2006,marbust01,Stephon Marbury,16453125.0,1,NYK,49500000,33.24
2005-06,2006,kiddja01,Jason Kidd,16440000.0,1,NJN,49500000,33.21
2005-06,2006,onealje01,Jermaine O'Neal,16440000.0,1,IND,49500000,33.21
2005-06,2006,grantbr01,Brian Grant,16006220.0,2,LAL/PHO,49500000,32.34
2005-06,2006,bryanko01,Kobe Bryant,15946875.0,1,LAL,49500000,32.22
2005-06,2006,duncati01,Tim Duncan,15845156.0,1,SAS,49500000,32.01
2005-06,2006,hardaan01,Anfernee Hardaway,15750000.0,1,NYK,49500000,31.82
2005-06,2006,hillgr01,Grant Hill,15694250.0,1,ORL,49500000,31.71
2005-06,2006,mcgratr01,Tracy McGrady,15694250.0,1,HOU,49500000,31.71
2005-06,2006,roseja01,Jalen Rose,15694250.0,1,TOR,49500000,31.71
2005-06,2006,vanhoke01,Keith Van Horn,15694250.0,1,DAL,49500000,31.71
2005-06,2006,jonesed02,Eddie Jones,14576250.0,1,MEM,49500000,29.45
2005-06,2006,thomati01,Tim Thomas,13975000.0,1,CHI,49500000,28.23
2005-06,2006,davisan01,Antonio Davis,13925000.0,1,NYK,49500000,28.13
2005-06,2006,cartevi01,Vince Carter,13843156.0,1,NJN,49500000,27.97
2005-06,2006,jamisan01,Antawn Jamison,13843156.0,1,WAS,49500000,27.97
2005-06,2006,nowitdi01,Dirk Nowitzki,13843156.0,1,DAL,49500000,27.97
2005-06,2006,piercpa01,Paul Pierce,13843156.0,1,BOS,49500000,27.97
2005-06,2006,davisba01,Baron Davis,13700000.0,1,GSW,49500000,27.68
2005-06,2006,francst01,Steve Francis,13700000.0,1,ORL,49500000,27.68
2005-06,2006,mariosh01,Shawn Marion,13700000.0,1,PHO,49500000,27.68
2005-06,2006,allenra02,Ray Allen,13223140.0,1,SEA,49500000,26.71
2005-06,2006,brandel01,Elton Brand,13152000.0,1,LAC,49500000,26.57
2005-06,2006,johnsjo02,Joe Johnson,12000000.0,1,ATL,49500000,24.24
2005-06,2006,reddmi01,Michael Redd,12000000.0,1,MIL,49500000,24.24
2005-06,2006,ratlith01,Theo Ratliff,11666666.0,1,POR,49500000,23.57
2005-06,2006,boozeca01,Carlos Boozer,11593816.0,1,UTA,49500000,23.42
2005-06,2006,bibbymi01,Mike Bibby,11500000.0,1,SAC,49500000,23.23
2005-06,2006,odomla01,Lamar Odom,11465333.0,1,LAL,49500000,23.16
2005-06,2006,gasolpa01,Pau Gasol,10993000.0,1,MEM,49500000,22.21
2005-06,2006,kirilan01,Andrei Kirilenko,10983000.0,1,UTA,49500000,22.19
2005-06,2006,wallara01,Rasheed Wallace,10860000.0,1,DET,49500000,21.94
2005-06,2006,anderde01,Derek Anderson,10763000.0,2,HOU/POR,49500000,21.74
2005-06,2006,randoza01,Zach Randolph,10666667.0,1,POR,49500000,21.55
2005-06,2006,martike01,Kenyon Martin,10636364.0,1,DEN,49500000,21.49
2005-06,2006,lafrera01,Raef LaFrentz,10623288.0,1,BOS,49500000,21.46
2005-06,2006,hughela01,Larry Hughes,10344900.0,1,CLE,49500000,20.9
2005-06,2006,arenagi01,Gilbert Arenas,10243200.0,1,WAS,49500000,20.69
2005-06,2006,jefferi01,Richard Jefferson,10200000.0,1,NJN,49500000,20.61
2005-06,2006,mashbja01,Jamal Mashburn,10075000.0,1,PHI,49500000,20.35
2005-06,2006,szczewa02,Wally Szczerbiak,10000000.0,1,MIN,49500000,20.2
2005-06,2006,chrisdo01,Doug Christie,9775000.0,2,DAL/ORL,49500000,19.75
2005-06,2006,nashst01,Steve Nash,9625000.0,1,PHO,49500000,19.44
2005-06,2006,bakervi01,Vin Baker,9183333.0,2,BOS/HOU,49500000,18.55
2005-06,2006,cambyma01,Marcus Camby,9150000.0,1,DEN,49500000,18.48
2005-06,2006,tayloma01,Maurice Taylor,9100000.0,1,NYK,49500000,18.38
2005-06,2006,chandty01,Tyson Chandler,9000000.0,1,CHI,49500000,18.18
2005-06,2006,andersh01,Shandon Anderson,8935000.0,2,MIA/NYK,49500000,18.05
2005-06,2006,richaja01,Jason Richardson,8888888.0,1,GSW,49500000,17.96
2005-06,2006,millebr01,Brad Miller,8750000.0,1,SAC,49500000,17.68
2005-06,2006,ilgauzy01,Zydrunas Ilgauskas,8740000.0,1,CLE,49500000,17.66
2005-06,2006,dampier01,Erick Dampier,8662500.0,1,DAL,49500000,17.5
2005-06,2006,catoke01,Kelvin Cato,8640000.0,1,ORL,49500000,17.45
2005-06,2006,hamilri01,Richard Hamilton,8625000.0,1,DET,49500000,17.42
2005-06,2006,lewisra02,Rashard Lewis,8571429.0,1,SEA,49500000,17.32
2005-06,2006,magloja01,Jamaal Magloire,8533333.0,1,MIL,49500000,17.24
2005-06,2006,mckieaa01,Aaron McKie,8500000.0,2,LAL/PHI,49500000,17.17
2005-06,2006,dalemsa01,Samuel Dalembert,8470000.0,1,PHI,49500000,17.11
2005-06,2006,parketo01,Tony Parker,8400000.0,1,SAS,49500000,16.97
2005-06,2006,stackje01,Jerry Stackhouse,8367187.0,1,DAL,49500000,16.9
2005-06,2006,okurme01,Mehmet Okur,8250000.0,1,UTA,49500000,16.67
2005-06,2006,millean02,Andre Miller,8100000.0,1,DEN,49500000,16.36
2005-06,2006,brownpj01,P.J. Brown,8000000.0,1,NOK,49500000,16.16
2005-06,2006,simmobo01,Bobby Simmons,8000000.0,1,MIL,49500000,16.16
2005-06,2006,wellsbo01,Bonzi Wells,8000000.0,1,SAC,49500000,16.16
2005-06,2006,croshau01,Austin Croshere,7900000.0,1,IND,49500000,15.96
2005-06,2006,wrighlo02,Lorenzen Wright,7700000.0,1,MEM,49500000,15.56
2005-06,2006,willija02,Jason Williams,7562500.0,1,MIA,49500000,15.28
2005-06,2006,brownkw01,Kwame Brown,7500000.0,1,LAL,49500000,15.15
2005-06,2006,stojape01,Peja Stojakovic,7500000.0,1,SAC,49500000,15.15
2005-06,2006,wallabe01,Ben Wallace,7500000.0,1,DET,49500000,15.15
2005-06,2006,ginobma01,Manu Ginobili,7428937.0,1,SAS,49500000,15.01
2005-06,2006,curryed01,Eddy Curry,7390000.0,1,NYK,49500000,14.93
2005-06,2006,murphtr01,Troy Murphy,7365079.0,1,GSW,49500000,14.88
2005-06,2006,masonde01,Desmond Mason,7333333.0,1,NOK,49500000,14.81
2005-06,2006,foylead01,Adonal Foyle,7312500.0,1,GSW,49500000,14.77
2005-06,2006,boothca01,Calvin Booth,7255098.0,2,MIL/WAS,49500000,14.66
2005-06,2006,milesda01,Darius Miles,7250000.0,1,POR,49500000,14.65
