season,season_end,player_id,player,total_salary,n_teams,teams,salary_cap,pct_of_cap,experience,exp_bucket,age,g,gs,mp,per,ts_pct,usg_pct,ws,ws_48,obpm,dbpm,bpm,vorp,pay_tier,low_minutes,impact_tier,surplus_value,era
2005-06,2006,onealsh01,Shaquille O'Neal,20000000.0,1,MIA,49500000,40.4,13.0,10+ (35% / supermax eligible),33.0,59.0,58.0,1806.0,24.4,0.586,30.0,6.2,0.164,2.4,0.3,2.7,2.1,5,False,4,-1,2005 CBA
2005-06,2006,houstal01,Allan Houston,19125000.0,1,NYK,49500000,38.64,,,,,,,,,,,,,,,,5,True,,,2005 CBA
2005-06,2006,webbech01,Chris Webber,19125000.0,1,PHI,49500000,38.64,12.0,10+ (35% / supermax eligible),32.0,75.0,75.0,2893.0,18.4,0.482,27.7,4.4,0.074,0.6,-0.7,-0.1,1.3,5,False,2,-3,2005 CBA
2005-06,2006,finlemi01,Michael Finley,18612500.0,2,DAL/SAS,49500000,37.6,10.0,10+ (35% / supermax eligible),32.0,77.0,18.0,2038.0,12.7,0.523,18.9,5.0,0.117,0.1,0.2,0.2,1.1,5,False,3,-2,2005 CBA
2005-06,2006,garneke01,Kevin Garnett,18000000.0,1,MIN,49500000,36.36,10.0,10+ (35% / supermax eligible),29.0,76.0,76.0,2957.0,26.8,0.589,25.5,14.9,0.242,5.6,2.2,7.8,7.4,5,False,5,0,2005 CBA
2005-06,2006,iversal01,Allen Iverson,16453125.0,1,PHI,49500000,33.24,9.0,7-9 (30% max eligible),30.0,72.0,72.0,3103.0,25.9,0.543,35.8,10.6,0.165,5.8,-1.0,4.8,5.3,5,False,4,-1,2005 CBA
2005-06,2006,marbust01,Stephon Marbury,16453125.0,1,NYK,49500000,33.24,9.0,7-9 (30% max eligible),28.0,60.0,60.0,2193.0,16.4,0.532,22.2,3.9,0.084,1.8,-1.7,0.1,1.1,5,False,3,-2,2005 CBA
2005-06,2006,kiddja01,Jason Kidd,16440000.0,1,NJN,49500000,33.21,11.0,10+ (35% / supermax eligible),32.0,80.0,80.0,2975.0,19.2,0.526,19.1,10.1,0.163,2.8,2.6,5.4,5.5,5,False,5,0,2005 CBA
2005-06,2006,onealje01,Jermaine O'Neal,16440000.0,1,IND,49500000,33.21,9.0,7-9 (30% max eligible),27.0,51.0,47.0,1802.0,20.4,0.53,28.9,4.9,0.131,0.6,1.7,2.3,2.0,5,False,4,-1,2005 CBA
2005-06,2006,grantbr01,Brian Grant,16006220.0,2,LAL/PHO,49500000,32.34,11.0,10+ (35% / supermax eligible),33.0,21.0,2.0,248.0,6.6,0.445,13.6,0.2,0.041,-5.8,-0.2,-6.0,-0.3,5,True,,,2005 CBA
2005-06,2006,bryanko01,Kobe Bryant,15946875.0,1,LAL,49500000,32.22,9.0,7-9 (30% max eligible),27.0,80.0,80.0,3277.0,28.0,0.559,38.7,15.3,0.224,7.4,0.2,7.6,8.0,5,False,5,0,2005 CBA
2005-06,2006,duncati01,Tim Duncan,15845156.0,1,SAS,49500000,32.01,8.0,7-9 (30% max eligible),29.0,80.0,80.0,2784.0,23.1,0.523,27.7,10.8,0.187,2.3,2.6,5.0,4.9,5,False,5,0,2005 CBA
2005-06,2006,hardaan01,Anfernee Hardaway,15750000.0,1,NYK,49500000,31.82,12.0,10+ (35% / supermax eligible),34.0,4.0,0.0,72.0,2.0,0.336,13.1,-0.2,-0.101,-6.1,0.4,-5.7,-0.1,5,True,,,2005 CBA
2005-06,2006,hillgr01,Grant Hill,15694250.0,1,ORL,49500000,31.71,10.0,10+ (35% / supermax eligible),33.0,21.0,17.0,613.0,19.0,0.552,24.9,1.7,0.13,1.5,0.0,1.5,0.5,5,False,3,-2,2005 CBA
2005-06,2006,mcgratr01,Tracy McGrady,15694250.0,1,HOU,49500000,31.71,8.0,7-9 (30% max eligible),26.0,47.0,47.0,1745.0,21.9,0.494,35.0,4.1,0.112,4.8,0.7,5.4,3.3,5,False,5,0,2005 CBA
2005-06,2006,roseja01,Jalen Rose,15694250.0,1,TOR,49500000,31.71,11.0,10+ (35% / supermax eligible),33.0,72.0,45.0,1983.0,13.9,0.538,21.8,2.5,0.06,0.5,-2.0,-1.5,0.2,5,False,2,-3,2005 CBA
2005-06,2006,vanhoke01,Keith Van Horn,15694250.0,1,DAL,49500000,31.71,8.0,7-9 (30% max eligible),30.0,53.0,0.0,1090.0,13.8,0.54,21.8,2.3,0.101,-0.3,-0.9,-1.2,0.2,5,False,2,-3,2005 CBA
2005-06,2006,jonesed02,Eddie Jones,14576250.0,1,MEM,49500000,29.45,11.0,10+ (35% / supermax eligible),34.0,75.0,75.0,2437.0,14.7,0.542,18.1,7.2,0.141,-0.1,2.3,2.2,2.6,4,False,4,0,2005 CBA
2005-06,2006,thomati01,Tim Thomas,13975000.0,1,CHI,49500000,28.23,8.0,7-9 (30% max eligible),28.0,29.0,10.0,666.0,12.2,0.535,21.1,0.9,0.065,-1.7,-1.4,-3.1,-0.2,4,False,1,-3,2005 CBA
2005-06,2006,davisan01,Antonio Davis,13925000.0,1,NYK,49500000,28.13,12.0,10+ (35% / supermax eligible),37.0,44.0,39.0,940.0,8.3,0.479,13.4,0.3,0.017,-3.2,-1.0,-4.3,-0.5,4,False,1,-3,2005 CBA
2005-06,2006,cartevi01,Vince Carter,13843156.0,1,NJN,49500000,27.97,7.0,7-9 (30% max eligible),29.0,79.0,79.0,2906.0,21.6,0.536,32.3,9.3,0.153,4.5,0.5,5.1,5.2,4,False,5,1,2005 CBA
2005-06,2006,jamisan01,Antawn Jamison,13843156.0,1,WAS,49500000,27.97,7.0,7-9 (30% max eligible),29.0,82.0,80.0,3288.0,17.7,0.518,23.9,8.2,0.119,2.4,-1.2,1.2,2.7,4,False,3,-1,2005 CBA
2005-06,2006,nowitdi01,Dirk Nowitzki,13843156.0,1,DAL,49500000,27.97,7.0,7-9 (30% max eligible),27.0,81.0,81.0,3089.0,28.1,0.589,30.0,17.7,0.275,7.8,0.4,8.1,7.9,4,False,5,1,2005 CBA
2005-06,2006,piercpa01,Paul Pierce,13843156.0,1,BOS,49500000,27.97,7.0,7-9 (30% max eligible),28.0,79.0,79.0,3084.0,23.6,0.582,31.2,11.5,0.178,5.0,-0.2,4.8,5.3,4,False,4,0,2005 CBA
2005-06,2006,davisba01,Baron Davis,13700000.0,1,GSW,49500000,27.68,6.0,5-6 (25% max eligible),26.0,54.0,48.0,1971.0,18.3,0.489,25.9,4.4,0.106,2.8,-0.2,2.6,2.3,4,False,4,0,2005 CBA
2005-06,2006,francst01,Steve Francis,13700000.0,1,ORL,49500000,27.68,6.0,5-6 (25% max eligible),28.0,70.0,60.0,2393.0,15.2,0.534,22.6,3.6,0.073,0.7,-0.7,0.0,1.2,4,False,3,-1,2005 CBA
2005-06,2006,mariosh01,Shawn Marion,13700000.0,1,PHO,49500000,27.68,6.0,5-6 (25% max eligible),27.0,81.0,81.0,3263.0,23.6,0.591,22.3,14.6,0.214,3.5,1.3,4.8,5.6,4,False,4,0,2005 CBA
2005-06,2006,allenra02,Ray Allen,13223140.0,1,SEA,49500000,26.71,9.0,7-9 (30% max eligible),30.0,78.0,78.0,3022.0,22.2,0.59,27.4,9.5,0.15,6.4,-2.0,4.4,4.9,4,False,4,0,2005 CBA
2005-06,2006,brandel01,Elton Brand,13152000.0,1,LAC,49500000,26.57,6.0,5-6 (25% max eligible),26.0,79.0,79.0,3099.0,26.5,0.58,27.7,14.8,0.229,5.1,1.6,6.7,6.8,4,False,5,1,2005 CBA
2005-06,2006,johnsjo02,Joe Johnson,12000000.0,1,ATL,49500000,24.24,4.0,0-4 (rookie scale / early),24.0,82.0,82.0,3340.0,17.9,0.537,24.6,6.0,0.086,3.1,-2.1,1.0,2.5,3,False,3,0,2005 CBA
2005-06,2006,reddmi01,Michael Redd,12000000.0,1,MIL,49500000,24.24,5.0,5-6 (25% max eligible),26.0,80.0,80.0,3130.0,21.2,0.574,28.3,10.8,0.166,4.7,-0.9,3.8,4.6,3,False,4,1,2005 CBA
2005-06,2006,ratlith01,Theo Ratliff,11666666.0,1,POR,49500000,23.57,10.0,10+ (35% / supermax eligible),32.0,55.0,19.0,1301.0,12.2,0.599,9.9,2.0,0.074,-2.2,0.6,-1.6,0.1,3,False,2,-1,2005 CBA
2005-06,2006,boozeca01,Carlos Boozer,11593816.0,1,UTA,49500000,23.42,3.0,0-4 (rookie scale / early),24.0,33.0,19.0,1025.0,21.4,0.585,23.9,3.5,0.162,2.4,-0.3,2.1,1.1,3,False,4,1,2005 CBA
2005-06,2006,bibbymi01,Mike Bibby,11500000.0,1,SAC,49500000,23.23,7.0,7-9 (30% max eligible),27.0,82.0,82.0,3167.0,17.9,0.554,25.4,8.4,0.127,2.7,-1.2,1.5,2.8,3,False,3,0,2005 CBA
2005-06,2006,odomla01,Lamar Odom,11465333.0,1,LAL,49500000,23.16,6.0,5-6 (25% max eligible),26.0,80.0,80.0,3221.0,17.0,0.558,18.1,9.2,0.137,2.1,0.6,2.7,3.9,3,False,4,1,2005 CBA
