season,season_end,team,player,player_id,salary
2005-06,2006,ATL,Joe Johnson,johnsjo02,12000000
2005-06,2006,ATL,Al Harrington,harrial01,6957500
2005-06,2006,ATL,Zaza Pachulia,pachuza01,4000000
2005-06,2006,ATL,Marvin Williams,willima02,3883560
2005-06,2006,ATL,Tyronn Lue,luety01,3500000
2005-06,2006,ATL,Tony Delk,delkto01,3375000
2005-06,2006,ATL,Josh Childress,childjo01,2677200
2005-06,2006,ATL,Jason Collier,collija02,1650000
2005-06,2006,ATL,Josh Smith,smithjo03,1365360
2005-06,2006,ATL,John Edwards,edwarjo01,1000000
2005-06,2006,ATL,Salim Stoudamire,stoudsa01,675000
2005-06,2006,ATL,Royal Ivey,iveyro01,641748
2005-06,2006,ATL,Donta Smith,smithdo04,641748
2005-06,2006,ATL,Esteban Batista,batises01,398762
2005-06,2006,ATL,John Thomas,thomajo02,178675
2005-06,2006,BOS,Paul Pierce,piercpa01,13843156
2005-06,2006,BOS,Raef LaFrentz,lafrera01,10623288
2005-06,2006,BOS,Ricky Davis,davisri01,5909800
2005-06,2006,BOS,Mark Blount,blounma01,5515875
2005-06,2006,BOS,Vin Baker,bakervi01,5333333
2005-06,2006,BOS,Brian Scalabrine,scalabr01,2586207
2005-06,2006,BOS,Dan Dickau,dickada01,2250000
2005-06,2006,BOS,Curtis Borchardt,borchcu01,1969993
2005-06,2006,BOS,Marcus Banks,banksma01,1724280
2005-06,2006,BOS,Al Jefferson,jeffeal01,1512840
2005-06,2006,BOS,Gerald Green,greenge01,1253040
2005-06,2006,BOS,Delonte West,westde01,1010040
2005-06,2006,BOS,Tony Allen,allento01,969696
2005-06,2006,BOS,Kendrick Perkins,perkike01,936480
2005-06,2006,BOS,Justin Reed,reedju01,641748
2005-06,2006,BOS,Ryan Gomes,gomesry01,428762
2005-06,2006,BOS,Orien Greene,greenor01,398762
2005-06,2006,CHA,Gerald Wallace,wallage01,5000000
2005-06,2006,CHA,Brevin Knight,knighbr01,4600000
2005-06,2006,CHA,Emeka Okafor,okafoem01,4020120
2005-06,2006,CHA,Kareem Rush,rushka01,3000000
2005-06,2006,CHA,Raymond Felton,feltora01,2847360
2005-06,2006,CHA,Primoz Brezec,brezepr01,2750000
2005-06,2006,CHA,Melvin Ely,elyme01,2401027
2005-06,2006,CHA,Jake Voskuhl,voskuja01,1937500
2005-06,2006,CHA,Jumaine Jones,jonesju01,1875000
2005-06,2006,CHA,Sean May,mayse01,1619280
2005-06,2006,CHA,Matt Carroll,carroma01,1100000
2005-06,2006,CHA,Keith Bogans,boganke01,869373
2005-06,2006,CHA,Bernard Robinson,robinbe01,641748
2005-06,2006,CHA,Alan Anderson,anderal01,398762
2005-06,2006,CHA,Kevin Burleson,burleke01,398762
2005-06,2006,CHI,Tim Thomas,thomati01,13975000
2005-06,2006,CHI,Tyson Chandler,chandty01,9000000
2005-06,2006,CHI,Eddie Robinson,robined01,5444444
2005-06,2006,CHI,Ben Gordon,gordobe01,3610200
2005-06,2006,CHI,Othella Harrington,harriot01,3500000
2005-06,2006,CHI,Eric Piatkowski,piatker01,3000000
2005-06,2006,CHI,Chris Duhon,duhonch01,2800000
2005-06,2006,CHI,Andres Nocioni,nocioan01,2775000
2005-06,2006,CHI,Kirk Hinrich,hinriki01,2513880
2005-06,2006,CHI,Luol Deng,denglu01,2443920
2005-06,2006,CHI,Darius Songaila,songada01,2200000
2005-06,2006,CHI,Mike Sweetney,sweetmi01,2116920
2005-06,2006,CHI,Malik Allen,allenma01,1670000
2005-06,2006,CHI,Jannero Pargo,pargoja01,895248
2005-06,2006,CHI,Jermaine Jackson,jacksje01,771123
2005-06,2006,CHI,Eddie Basden,basdeed01,398762
2005-06,2006,CHI,Randy Holcomb,holcora01,52033
2005-06,2006,CLE,Larry Hughes,hughela01,10344900
2005-06,2006,CLE,Zydrunas Ilgauskas,ilgauzy01,8740000
2005-06,2006,CLE,Eric Snow,snower01,5484375
2005-06,2006,CLE,Donyell Marshall,marshdo01,4799108
2005-06,2006,CLE,LeBron James,jamesle01,4621800
2005-06,2006,CLE,Drew Gooden,goodedr01,4065811
2005-06,2006,CLE,Damon Jones,jonesda01,3590000
2005-06,2006,CLE,Ira Newble,newblir01,2950200
2005-06,2006,CLE,Luke Jackson,jackslu02,1955160
2005-06,2006,CLE,Sasha Pavlovic,pavloal01,1274160
2005-06,2006,CLE,Alan Henderson,hendeal01,1138500
2005-06,2006,CLE,Anderson Varejao,varejan01,866800
2005-06,2006,CLE,Mike Wilks,wilksmi01,745248
2005-06,2006,CLE,Martynas Andriuskevicius,andrima01,398762
2005-06,2006,CLE,Zendon Hamilton,hamilze01,329138
2005-06,2006,DAL,Michael Finley,finlemi01,15937500
2005-06,2006,DAL,Keith Van Horn,vanhoke01,15694250
2005-06,2006,DAL,Dirk Nowitzki,nowitdi01,13843156
2005-06,2006,DAL,Erick Dampier,dampier01,8662500
2005-06,2006,DAL,Jerry Stackhouse,stackje01,8367187
2005-06,2006,DAL,Jason Terry,terryja01,6666667
