season,salary_cap,cap_2022_dollars
1984-85,3600000,9793069
1985-86,4233000,11298280
1986-87,4945000,12734751
1987-88,6164000,15248702
1988-89,7232000,17069461
1989-90,9802000,21950887
1990-91,11871000,25499592
1991-92,12500000,26061180
1992-93,14000000,28354756
1993-94,15175000,29954782
1994-95,15964000,30651995
1995-96,23000000,42906004
1996-97,24363000,44402880
1997-98,26900000,48285994
1998-99,30000000,52688773
1999-00,34000000,57763864
2000-01,35500000,58657395
2001-02,42500000,69132284
2002-03,40271000,64048956
2003-04,43840000,67907202
2004-05,43870000,65719039
2005-06,49500000,71839551
2006-07,53135000,74973988
2007-08,55630000,75594893
2008-09,58680000,80023973
2009-10,57700000,77414680
2010-11,58044000,75491545
2011-12,58044000,73970553
2012-13,58044000,72903264
2013-14,58679000,72519787
2014-15,63065000,77841847
2015-16,70000000,85323721
2016-17,94143000,112368348
2017-18,99093000,115455294
2018-19,101869000,116573245
2019-20,109140000,123384194
2020-21,109140000,117838496
2021-22,112414000,112414000
2022-23,123655000,
2023-24,136021000,
2024-25,140588000,
2025-26,154647000,
2026-27,164961000,
