season,team,payroll,n_on_books,salary_cap,payroll_cap_ratio,payroll_rank,spend_tier,era,over_2nd_apron_real
2005-06,NYK,126631098.0,19,49500000,2.558,1,apron2,2005 CBA,
2005-06,DAL,98454832.0,20,49500000,1.989,2,apron2,2005 CBA,
2005-06,PHI,84807300.0,19,49500000,1.713,3,apron2,2005 CBA,
2005-06,IND,78791779.0,16,49500000,1.592,4,apron2,2005 CBA,
2005-06,ORL,75784782.0,16,49500000,1.531,5,apron2,2005 CBA,
2005-06,LAL,73917945.0,18,49500000,1.493,6,apron2,2005 CBA,
2005-06,HOU,69257404.0,21,49500000,1.399,7,apron2,2005 CBA,
2005-06,MEM,67525538.0,17,49500000,1.364,8,apron1,2005 CBA,
2005-06,NJN,66449350.0,16,49500000,1.342,9,apron1,2005 CBA,
2005-06,SAS,63570274.0,15,49500000,1.284,10,apron1,2005 CBA,
2005-06,MIL,63022514.0,17,49500000,1.273,11,apron1,2005 CBA,
2005-06,SAC,62811975.0,13,49500000,1.269,12,apron1,2005 CBA,
2005-06,TOR,62411884.0,17,49500000,1.261,13,apron1,2005 CBA,
2005-06,MIN,61830186.0,18,49500000,1.249,14,tax,2005 CBA,
2005-06,MIA,60732452.0,18,49500000,1.227,15,tax,2005 CBA,
2005-06,POR,60017964.0,16,49500000,1.212,16,tax,2005 CBA,
2005-06,DET,59619275.0,16,49500000,1.204,17,tax,2005 CBA,
2005-06,UTA,57372902.0,15,49500000,1.159,18,tax,2005 CBA,
2005-06,CHI,57166530.0,17,49500000,1.155,19,tax,2005 CBA,
2005-06,GSW,57114566.0,14,49500000,1.154,20,tax,2005 CBA,
2005-06,BOS,56907300.0,17,49500000,1.15,21,tax,2005 CBA,
2005-06,DEN,56492172.0,15,49500000,1.141,22,tax,2005 CBA,
2005-06,WAS,54555947.0,15,49500000,1.102,23,tax,2005 CBA,
2005-06,PHO,53626924.0,17,49500000,1.083,24,under,2005 CBA,
2005-06,LAC,51358645.0,17,49500000,1.038,25,under,2005 CBA,
2005-06,CLE,51303962.0,15,49500000,1.036,26,under,2005 CBA,
2005-06,SEA,49253379.0,16,49500000,0.995,27,under,2005 CBA,
2005-06,ATL,42944553.0,15,49500000,0.868,28,under,2005 CBA,
2005-06,NOK,41277617.0,15,49500000,0.834,29,under,2005 CBA,
2005-06,CHA,33458932.0,15,49500000,0.676,30,under,2005 CBA,
2006-07,NYK,117350866.0,18,53135000,2.209,1,apron2,2005 CBA,
2006-07,DAL,88531846.0,19,53135000,1.666,2,apron2,2005 CBA,
2006-07,LAL,78099949.0,17,53135000,1.47,3,apron2,2005 CBA,
2006-07,POR,75026386.0,17,53135000,1.412,4,apron2,2005 CBA,
2006-07,PHI,69140163.0,17,53135000,1.301,5,apron1,2005 CBA,
2006-07,MIN,66820673.0,15,53135000,1.258,6,apron1,2005 CBA,
2006-07,PHO,65841120.0,15,53135000,1.239,7,tax,2005 CBA,
2006-07,SAS,65654320.0,15,53135000,1.236,8,tax,2005 CBA,
2006-07,DEN,65517776.0,14,53135000,1.233,9,tax,2005 CBA,
2006-07,GSW,65012368.0,20,53135000,1.224,10,tax,2005 CBA,
2006-07,NJN,64486110.0,17,53135000,1.214,11,tax,2005 CBA,
2006-07,MIA,64416312.0,17,53135000,1.212,12,tax,2005 CBA,
2006-07,SAC,64296611.0,18,53135000,1.21,13,tax,2005 CBA,
2006-07,HOU,63837566.0,18,53135000,1.201,14,tax,2005 CBA,
2006-07,MIL,63498518.0,19,53135000,1.195,15,tax,2005 CBA,
2006-07,IND,63118965.0,17,53135000,1.188,16,tax,2005 CBA,
2006-07,CLE,62992729.0,15,53135000,1.186,17,tax,2005 CBA,
2006-07,BOS,62981479.0,18,53135000,1.185,18,tax,2005 CBA,
2006-07,WAS,62733705.0,17,53135000,1.181,19,tax,2005 CBA,
2006-07,UTA,62364364.0,16,53135000,1.174,20,tax,2005 CBA,
2006-07,MEM,61960489.0,17,53135000,1.166,21,tax,2005 CBA,
2006-07,ORL,61447108.0,16,53135000,1.156,22,tax,2005 CBA,
2006-07,LAC,59181038.0,21,53135000,1.114,23,tax,2005 CBA,
2006-07,DET,59010951.0,16,53135000,1.111,24,tax,2005 CBA,
2006-07,SEA,56986831.0,17,53135000,1.072,25,under,2005 CBA,
2006-07,CHI,54754904.0,16,53135000,1.03,26,under,2005 CBA,
2006-07,NOK,53748991.0,16,53135000,1.012,27,under,2005 CBA,
