season,era,deadline,total_trades,offseason,in_season,deadline_week,aggregation_trades,aggregation_share,multiteam_trades,avg_players_per_trade
2005-06,2005 CBA,2006-02-23,45,30,9,6,16,0.356,2,3.38
2006-07,2005 CBA,2007-02-22,36,28,6,2,8,0.222,0,2.97
2007-08,2005 CBA,2008-02-21,36,22,6,8,22,0.611,4,4.03
2008-09,2005 CBA,2009-02-19,56,31,13,12,25,0.446,3,3.14
2009-10,2005 CBA,2010-02-18,50,30,8,12,21,0.42,3,3.2
2010-11,2005 CBA,2011-02-24,54,34,6,14,25,0.463,5,3.8
2011-12,2011 CBA,2012-03-15,33,11,12,10,16,0.485,4,3.42
2012-13,2011 CBA,2013-02-21,52,37,3,12,15,0.288,5,3.58
2013-14,2011 CBA,2014-02-20,51,33,7,11,27,0.529,7,3.73
2014-15,2011 CBA,2015-02-19,65,41,13,11,38,0.585,12,3.71
2015-16,2011 CBA,2016-02-18,44,31,4,9,14,0.318,3,2.98
2016-17,2011 CBA,2017-02-23,60,42,8,10,20,0.333,1,2.78
2017-18,2017 CBA,2018-02-08,44,26,4,14,17,0.386,3,3.18
2018-19,2017 CBA,2019-02-07,65,36,8,21,21,0.323,5,3.42
2019-20,2017 CBA,2020-02-06,45,28,5,12,30,0.667,7,4.38
2020-21,2017 CBA,2021-03-25,60,1,41,18,31,0.517,8,3.97
2021-22,2017 CBA,2022-02-10,76,55,5,16,39,0.513,8,3.67
2022-23,2017 CBA,2023-02-09,43,26,2,15,22,0.512,9,4.58
2023-24,2023 CBA (2nd apron),2024-02-08,51,24,8,19,24,0.471,7,3.45
2024-25,2023 CBA (2nd apron),2025-02-06,64,40,5,19,29,0.453,10,3.5
2025-26,2023 CBA (2nd apron),2026-02-05,62,33,1,28,21,0.339,11,2.97
