season,date,type,subtype,teams,n_teams,players,n_players,players_out,players_in,is_aggregation,text
2005-06,2005-07-05,waiver,,ATL,1,thomaja02,1,0,0,False,The Atlanta Hawks waived James Thomas.
2005-06,2005-07-05,waiver,,ATL,1,ekeziob01,1,0,0,False,The Atlanta Hawks waived Obinna Ekezie.
2005-06,2005-07-07,signing,free_agent,DEN,1,watsoea01,1,0,0,False,The Denver Nuggets signed Earl Watson as a free agent.
2005-06,2005-08-02,trade,,LAL/WAS,2,atkinch01/butleca01/brownkw01/profila01,4,2,2,True,The Los Angeles Lakers traded Chucky Atkins and Caron Butler to the Washington Wizards for Kwame Brown and Laron Profit.
2005-06,2005-08-02,trade,,BOS/MEM/MIA/NOK/UTA,5,walkean02/emmetan01/poseyja01/willija02/ostergr01/miralal01/woodsqy01/bavcied01/pekovni01/jonesed02/butlera01/duenaro01/borchcu01/lopezra01/snydeki01,15,15,0,True,"In a 5-team trade, the Boston Celtics traded Antoine Walker to the Miami Heat; the Memphis Grizzlies traded Andre Emmett, James Posey and Jason Williams to the Miami Heat; the Memphis Grizzlies traded Greg Ostertag to the Utah Jazz; the Miami Heat traded Albert Miralles, Qyntel Woods, a 2006 2nd round draft pick (Edin BavÄiÄ was later selected) and a 2008 2nd round draft pick (Nikola PekoviÄ was later selected) to the Boston Celtics; the Miami Heat traded Eddie Jones to the Memphis Grizzlies; the Miami Heat traded Rasual Butler to the New Orleans/Oklahoma City Hornets; the New Orleans/Oklahoma City Hornets traded Roberto Duenas to the Miami Heat; the Utah Jazz traded Curtis Borchardt to the Boston Celtics; the Utah Jazz traded RaÃ¼l LÃ³pez to the Memphis Grizzlies; and the Utah Jazz traded Kirk Snyder to the New Orleans/Oklahoma City Hornets."
2005-06,2005-08-02,trade,,MEM/SAC,2,wellsbo01/jacksbo01/ostergr01,3,1,2,False,The Memphis Grizzlies traded Bonzi Wells to the Sacramento Kings for Bobby Jackson and Greg Ostertag.
2005-06,2005-08-02,signing,free_agent,WAS,1,daniean01,1,0,0,False,The Washington Wizards signed Antonio Daniels as a free agent.
2005-06,2005-08-02,trade,,CHA/SAC,2,hartja01/holliry01,2,1,1,False,The Charlotte Bobcats traded Jason Hart to the Sacramento Kings for a 2006 2nd round draft pick (Ryan Hollins was later selected).
2005-06,2005-08-02,signing,free_agent,CLE,1,hughela01,1,0,0,False,The Cleveland Cavaliers signed Larry Hughes as a free agent.
2005-06,2005-08-02,signing,free_agent,NYK,1,jamesje01,1,0,0,False,The New York Knicks signed Jerome James as a free agent.
2005-06,2005-08-02,signing,free_agent,CLE,1,marshdo01,1,0,0,False,The Cleveland Cavaliers signed Donyell Marshall as a free agent.
2005-06,2005-08-02,signing,free_agent,LAL,1,parkesm01,1,0,0,False,The Los Angeles Lakers signed Smush Parker as a free agent.
2005-06,2005-08-02,signing,free_agent,BOS,1,scalabr01,1,0,0,False,The Boston Celtics signed Brian Scalabrine as a free agent.
2005-06,2005-08-02,signing,free_agent,HOU,1,swiftst01,1,0,0,False,The Houston Rockets signed Stromile Swift as a free agent.
2005-06,2005-08-02,signing,free_agent,NOK,1,macijar01,1,0,0,False,The New Orleans/Oklahoma City Hornets signed Arvydas Macijauskas as a free agent.
2005-06,2005-08-02,signing,free_agent,MIA,1,powelka01,1,0,0,False,The Miami Heat signed Kasib Powell as a free agent.
2005-06,2005-08-02,signing,free_agent,SAS,1,obertfa01,1,0,0,False,The San Antonio Spurs signed Fabricio Oberto as a free agent.
2005-06,2005-08-02,signing,free_agent,DAL,1,poweljo01,1,0,0,False,The Dallas Mavericks signed Josh Powell as a free agent.
2005-06,2005-08-02,signing,free_agent,SAC,1,pricero01,1,0,0,False,The Sacramento Kings signed Ronnie Price as a free agent.
2005-06,2005-08-02,trade,,CHA/PHO,2,voskuja01,1,0,1,False,The Charlotte Bobcats traded a 2007 2nd round draft pick to the Phoenix Suns for Jake Voskuhl. Conditional 2007 2nd-rd pick did not convey
2005-06,2005-08-03,waiver,,POR,1,anderde01,1,0,0,False,The Portland Trail Blazers waived Derek Anderson.
2005-06,2005-08-03,signing,free_agent,PHO,1,bellra01,1,0,0,False,The Phoenix Suns signed Raja Bell as a free agent.
2005-06,2005-08-03,waiver,,LAC,1,brunsri01,1,0,0,False,The Los Angeles Clippers waived Rick Brunson.
