season,team,odds_preseason_first,odds_preseason_last,champion
2005-06,Miami Heat,350,350,1
2005-06,Dallas Mavericks,1300,1300,0
2005-06,Detroit Pistons,1000,1000,0
2005-06,Phoenix Suns,800,800,0
2005-06,San Antonio Spurs,250,250,0
2005-06,New Jersey Nets,2500,2500,0
2005-06,Cleveland Cavaliers,1800,1800,0
2005-06,Los Angeles Clippers,7000,7000,0
2005-06,Denver Nuggets,1200,1200,0
2005-06,Indiana Pacers,1600,1600,0
2005-06,Los Angeles Lakers,2500,2500,0
2005-06,Memphis Grizzlies,3500,3500,0
2005-06,Washington Wizards,3000,3000,0
2005-06,Sacramento Kings,1800,1800,0
2005-06,Chicago Bulls,3000,3000,0
2005-06,Milwaukee Bucks,8000,8000,0
2005-06,Houston Rockets,1500,1500,0
2005-06,Minnesota Timberwolves,1800,1800,0
2005-06,Seattle SuperSonics,1800,1800,0
2005-06,Philadelphia 76ers,2500,2500,0
2005-06,Boston Celtics,3000,3000,0
2005-06,New York Knicks,5000,5000,0
2005-06,Golden State Warriors,6000,6000,0
2005-06,Orlando Magic,7000,7000,0
2005-06,Toronto Raptors,8000,8000,0
2005-06,Portland Trail Blazers,10000,10000,0
2005-06,Utah Jazz,10000,10000,0
2005-06,Charlotte Bobcats,25000,25000,0
2005-06,Atlanta Hawks,30000,30000,0
2005-06,New Orleans Hornets,40000,40000,0
2006-07,San Antonio Spurs,450,450,1
2006-07,Cleveland Cavaliers,900,900,0
2006-07,Dallas Mavericks,400,400,0
2006-07,Phoenix Suns,600,600,0
2006-07,Detroit Pistons,800,800,0
2006-07,Miami Heat,600,600,0
2006-07,Chicago Bulls,1800,1800,0
2006-07,Houston Rockets,2000,2000,0
2006-07,Toronto Raptors,10000,10000,0
2006-07,Denver Nuggets,4500,4500,0
2006-07,Utah Jazz,8000,8000,0
2006-07,New Jersey Nets,1500,1500,0
2006-07,Los Angeles Lakers,3500,3500,0
2006-07,Golden State Warriors,10000,10000,0
2006-07,Orlando Magic,15000,15000,0
2006-07,Washington Wizards,6500,6500,0
2006-07,Los Angeles Clippers,2500,2500,0
2006-07,Sacramento Kings,3500,3500,0
2006-07,Memphis Grizzlies,4500,4500,0
2006-07,Indiana Pacers,5000,5000,0
2006-07,Boston Celtics,8000,8000,0
2006-07,Milwaukee Bucks,8000,8000,0
2006-07,Minnesota Timberwolves,10000,10000,0
2006-07,New Orleans Hornets,10000,10000,0
2006-07,Seattle SuperSonics,10000,10000,0
2006-07,Philadelphia 76ers,12000,12000,0
2006-07,Atlanta Hawks,20000,20000,0
2006-07,New York Knicks,20000,20000,0
2006-07,Charlotte Bobcats,50000,50000,0
2006-07,Portland Trail Blazers,50000,50000,0
2007-08,Boston Celtics,1000,1000,1
2007-08,Los Angeles Lakers,3000,3000,0
2007-08,Detroit Pistons,1200,1200,0
2007-08,San Antonio Spurs,450,450,0
2007-08,Phoenix Suns,500,500,0
2007-08,New Orleans Hornets,5000,5000,0
2007-08,Utah Jazz,1500,1500,0
2007-08,Dallas Mavericks,450,450,0
2007-08,Cleveland Cavaliers,600,600,0
2007-08,Houston Rockets,1000,1000,0
2007-08,Orlando Magic,4000,4000,0
2007-08,Denver Nuggets,1500,1500,0
2007-08,Washington Wizards,2500,2500,0
2007-08,Toronto Raptors,2000,2000,0
2007-08,Philadelphia 76ers,15000,15000,0
2007-08,Atlanta Hawks,12500,12500,0
2007-08,Chicago Bulls,1000,1000,0
2007-08,Miami Heat,1200,1200,0
2007-08,Golden State Warriors,2000,2000,0
2007-08,New Jersey Nets,2500,2500,0
2007-08,Indiana Pacers,4000,4000,0
2007-08,Los Angeles Clippers,5000,5000,0
2007-08,Sacramento Kings,5000,5000,0
2007-08,New York Knicks,6000,6000,0
2007-08,Milwaukee Bucks,7500,7500,0
2007-08,Seattle SuperSonics,7500,7500,0
2007-08,Portland Trail Blazers,8000,8000,0
2007-08,Charlotte Bobcats,12500,12500,0
2007-08,Minnesota Timberwolves,15000,15000,0
2007-08,Memphis Grizzlies,20000,20000,0
2008-09,Los Angeles Lakers,350,350,1
