season,era,vig_overround,hhi,eff_contenders,perplexity,top1_share,top3_share,top5_share,n_ge_5pct,n_ge_2pct,n_longshot_10k,champ_team,champ_preseason_prob,champ_preseason_rank,champ_preseason_odds,win_total_std,wt_spread
2005-06,2005 CBA,1.5486,0.0797,12.5547,18.3453,0.1845,0.3998,0.5081,4,18,5,Miami Heat,0.1435,2,350,10.1753,37.5000
2006-07,2005 CBA,1.3290,0.0854,11.7080,16.0212,0.1505,0.3948,0.5859,6,12,11,San Antonio Spurs,0.1368,2,450,8.2573,32.0000
2007-08,2005 CBA,1.6259,0.0645,15.4934,19.7578,0.1118,0.3262,0.4699,7,15,5,Boston Celtics,0.0559,5,1000,9.3769,37.0000
2008-09,2005 CBA,1.4314,0.0795,12.5852,17.4229,0.1553,0.3881,0.5152,8,14,11,Los Angeles Lakers,0.1553,1,350,9.2386,32.0000
2009-10,2005 CBA,1.3863,0.1148,8.7094,13.8024,0.2220,0.5335,0.6646,5,10,10,Los Angeles Lakers,0.2220,1,225,10.7775,37.5000
2010-11,2005 CBA,1.3959,0.1281,7.8047,13.6198,0.2605,0.5303,0.6432,4,10,11,Dallas Mavericks,0.0341,7,2000,10.5338,41.0000
2011-12,2011 CBA,1.3491,0.1067,9.3704,14.2123,0.2281,0.4769,0.6475,5,12,13,Miami Heat,0.2281,1,225,9.4675,31.0000
2012-13,2011 CBA,1.2951,0.1305,7.6618,12.4637,0.2376,0.5839,0.6887,4,12,13,Miami Heat,0.2376,1,225,11.1153,41.0000
2013-14,2011 CBA,1.2943,0.1066,9.3770,15.1884,0.2575,0.4466,0.5655,8,13,12,San Antonio Spurs,0.0594,4,1200,12.1582,45.0000
2014-15,2011 CBA,1.2255,0.1167,8.5710,13.1363,0.2176,0.5155,0.6991,5,9,11,Golden State Warriors,0.0281,8,2800,11.2847,42.5000
2015-16,2011 CBA,1.1468,0.1202,8.3188,12.1765,0.2295,0.5251,0.6948,7,11,15,Cleveland Cavaliers,0.2295,1,280,11.0202,39.0000
2016-17,2011 CBA,1.1024,0.3052,3.2767,6.2989,0.5093,0.7848,0.8402,3,5,19,Golden State Warriors,0.5093,1,-128,10.0793,45.0000
2017-18,2017 CBA,1.1301,0.3637,2.7497,5.0576,0.5765,0.7885,0.8744,3,6,21,Golden State Warriors,0.5765,1,-187,10.6846,45.5000
2018-19,2017 CBA,1.1287,0.3371,2.9663,5.6757,0.5554,0.7590,0.8510,3,7,23,Toronto Raptors,0.0454,5,1850,10.3723,39.0000
2019-20,2017 CBA,1.1802,0.1019,9.8178,12.9041,0.1614,0.4458,0.6486,7,10,15,Los Angeles Lakers,0.1541,2,450,10.0915,34.0000
2020-21,2017 CBA,1.2065,0.1045,9.5707,14.1562,0.2210,0.4669,0.6327,5,14,14,Milwaukee Bucks,0.1275,2,550,8.2994,28.0000
2021-22,2017 CBA,1.2205,0.1127,8.8729,13.6466,0.2410,0.4868,0.6199,5,12,14,Golden State Warriors,0.0819,3,900,9.8488,34.0000
2022-23,2017 CBA,1.3140,0.0739,13.5375,16.9200,0.1268,0.3370,0.5273,7,14,10,Denver Nuggets,0.0401,9,1800,10.8544,32.0000
2023-24,2023 CBA (2nd apron),1.2198,0.0961,10.4037,14.5966,0.1640,0.4541,0.6219,6,12,12,Boston Celtics,0.1640,1,400,8.3291,30.0000
2024-25,2023 CBA (2nd apron),1.1997,0.0960,10.4163,14.4012,0.2033,0.4348,0.5801,8,14,11,Oklahoma City Thunder,0.1389,2,500,11.2099,39.0000
2025-26,2023 CBA (2nd apron),1.2094,0.1080,9.2580,13.7467,0.2432,0.4677,0.6094,6,14,13,New York Knicks,0.0827,4,900,11.0472,44.0000
